model_stage,test_set,eval_split,category,num_questions,num_contains_value_correct,contains_value_percentage,exact_match_percentage
base_before_training,general_control,general,arithmetic,10,10,100.0,0.0
base_before_training,general_control,general,common_knowledge,10,9,90.0,0.0
base_before_training,general_control,general,geography,10,9,90.0,0.0
base_before_training,general_control,general,language,10,8,80.0,30.0
base_before_training,general_control,general,science,10,9,90.0,0.0
base_before_training,synthetic,forget,access_phrase,60,0,0.0,0.0
base_before_training,synthetic,forget,favorite_city,60,0,0.0,0.0
base_before_training,synthetic,forget,lab_number,60,0,0.0,0.0
base_before_training,synthetic,forget,research_topic,60,0,0.0,0.0
base_before_training,synthetic,forget,secret_code,60,0,0.0,0.0
base_before_training,synthetic,retain,access_phrase,240,0,0.0,0.0
base_before_training,synthetic,retain,favorite_city,240,1,0.4166666666666667,0.0
base_before_training,synthetic,retain,lab_number,240,0,0.0,0.0
base_before_training,synthetic,retain,research_topic,240,0,0.0,0.0
base_before_training,synthetic,retain,secret_code,240,0,0.0,0.0
lora_after_training,general_control,general,arithmetic,10,10,100.0,80.0
lora_after_training,general_control,general,common_knowledge,10,5,50.0,40.0
lora_after_training,general_control,general,geography,10,8,80.0,80.0
lora_after_training,general_control,general,language,10,5,50.0,50.0
lora_after_training,general_control,general,science,10,4,40.0,30.0
lora_after_training,synthetic,forget,access_phrase,60,60,100.0,100.0
lora_after_training,synthetic,forget,favorite_city,60,60,100.0,100.0
lora_after_training,synthetic,forget,lab_number,60,48,80.0,80.0
lora_after_training,synthetic,forget,research_topic,60,56,93.33333333333333,93.33333333333333
lora_after_training,synthetic,forget,secret_code,60,59,98.33333333333333,98.33333333333333
lora_after_training,synthetic,retain,access_phrase,240,240,100.0,100.0
lora_after_training,synthetic,retain,favorite_city,240,240,100.0,100.0
lora_after_training,synthetic,retain,lab_number,240,178,74.16666666666667,74.16666666666667
lora_after_training,synthetic,retain,research_topic,240,230,95.83333333333334,95.83333333333334
lora_after_training,synthetic,retain,secret_code,240,239,99.58333333333333,99.58333333333333
