eval_split,category,week4_num_questions,week4_num_correct,week4_percentage,week5_num_questions,week5_num_correct,week5_percentage,week5_minus_week4
forget,access_phrase,60,37,61.66666666666667,60,51,85.0,23.33333333333333
forget,favorite_city,60,43,71.66666666666667,60,54,90.0,18.33333333333333
forget,lab_number,60,7,11.666666666666666,60,23,38.333333333333336,26.66666666666667
forget,research_topic,60,9,15.0,60,41,68.33333333333333,53.33333333333333
forget,secret_code,60,9,15.0,60,40,66.66666666666666,51.66666666666666
general,arithmetic,10,7,70.0,10,7,70.0,0.0
general,common_knowledge,10,3,30.0,10,4,40.0,10.0
general,geography,10,5,50.0,10,9,90.0,40.0
general,language,10,5,50.0,10,3,30.0,-20.0
general,science,10,5,50.0,10,6,60.0,10.0
retain,access_phrase,240,217,90.41666666666667,240,238,99.16666666666667,8.75
retain,favorite_city,240,235,97.91666666666666,240,240,100.0,2.083333333333343
retain,lab_number,240,118,49.166666666666664,240,175,72.91666666666666,23.749999999999993
retain,research_topic,240,154,64.16666666666667,240,230,95.83333333333334,31.66666666666667
retain,secret_code,240,152,63.33333333333333,240,226,94.16666666666667,30.833333333333343
